regime,seed,query_id,main_nDCG,abl_nDCG,abl_served,absdiff
dataset_style,0,FLARE22_Tr_0025,0.22400556151517556,0.2240055615151755,True,5.551115123125783e-17
dataset_style,0,FLARE22_Tr_0028,0.023459940900904006,0.023459940900904,True,6.938893903907228e-18
dataset_style,0,FLARE22_Tr_0031,0.0,0.0,True,0.0
dataset_style,0,FLARE22_Tr_0036,0.009918745990968182,0.0099187459909681,True,8.153200337090993e-17
dataset_style,0,FLARE22_Tr_0038,0.0,0.0,True,0.0
dataset_style,0,FLARE22_Tr_0043,0.085143117641621,0.085143117641621,True,0.0
dataset_style,0,FLARE22_Tr_0045,0.022082048511199753,0.0220820485111997,True,5.204170427930421e-17
dataset_style,0,FLARE22_Tr_0050,0.0,0.0,True,0.0
dataset_style,0,FLARETs_0003,0.13886244387355454,0.1388624438735545,True,2.7755575615628914e-17
dataset_style,0,FLARETs_0006,0.09478836436955079,0.0947883643695507,True,9.71445146547012e-17
dataset_style,0,FLARETs_0021,0.07336392209936007,0.07336392209936,True,6.938893903907228e-17
dataset_style,0,FLARETs_0023,0.2786364164872878,0.2786364164872878,True,0.0
dataset_style,0,FLARETs_0024,0.09279427716824817,0.0927942771682481,True,6.938893903907228e-17
dataset_style,0,FLARETs_0033,0.0,0.0,True,0.0
dataset_style,0,FLARETs_0034,0.07745397616562838,0.0774539761656283,True,8.326672684688674e-17
dataset_style,0,FLARETs_0035,0.0,0.0,True,0.0
dataset_style,0,FLARETs_0036,0.06625422345438904,0.066254223454389,True,4.163336342344337e-17
dataset_style,0,FLARETs_0039,0.0,0.0,True,0.0
dataset_style,0,FLARETs_0044,0.17630010660342915,0.1763001066034291,True,5.551115123125783e-17
dataset_style,0,FLARETs_0050,0.10086395809148387,0.1008639580914838,True,6.938893903907228e-17
dataset_style,0,LiTs-014,0.0,0.0,False,0.0
dataset_style,0,LiTs-015,0.0,0.0,False,0.0
dataset_style,0,LiTs-021,0.0,0.0,False,0.0
dataset_style,0,LiTs-022,0.0,0.0,False,0.0
dataset_style,0,LiTs-024,0.0,0.0,False,0.0
dataset_style,0,LiTs-041,0.0,0.0,False,0.0
dataset_style,0,LiTs-044,0.0,0.0,False,0.0
dataset_style,0,LiTs-045,0.0,0.0,False,0.0
dataset_style,0,LiTs-046,0.0,0.0,False,0.0
dataset_style,0,LiTs-047,0.0,0.0,False,0.0
dataset_style,0,LiTs-059,0.0,0.0,False,0.0
dataset_style,0,LiTs-066,0.0,0.0,False,0.0
dataset_style,0,LiTs-067,0.0,0.0,False,0.0
dataset_style,0,LiTs-076,0.0,0.0,False,0.0
dataset_style,0,LiTs-082,0.0,0.0,False,0.0
dataset_style,0,LiTs-083,0.0,0.0,False,0.0
dataset_style,0,LiTs-086,0.0,0.0,False,0.0
dataset_style,0,LiTs-087,0.0,0.0,False,0.0
dataset_style,0,LiTs-089,0.0,0.0,False,0.0
dataset_style,0,LiTs-102,0.0,0.0,False,0.0
dataset_style,0,LiTs-104,0.0,0.0,False,0.0
dataset_style,0,LiTs-105,0.0,0.0,False,0.0
dataset_style,0,LiTs-111,0.0,0.0,False,0.0
dataset_style,0,LiTs-128,0.0,0.0,False,0.0
dataset_style,0,LiTs-130,0.0,0.0,False,0.0
dataset_style,0,pancreas_001,0.6311443278613472,0.6311443278613472,True,0.0
dataset_style,0,pancreas_012,0.1619406761776396,0.1619406761776396,True,0.0
dataset_style,0,pancreas_042,0.0,0.0,True,0.0
dataset_style,0,pancreas_058,0.0,0.0,True,0.0
dataset_style,0,pancreas_077,0.0,0.0,True,0.0
dataset_style,0,pancreas_080,0.2559504294230336,0.2559504294230336,True,0.0
dataset_style,0,pancreas_081,0.2887478400797578,0.2887478400797578,True,0.0
dataset_style,0,pancreas_084,0.6402900881481707,0.6402900881481707,True,0.0
dataset_style,0,pancreas_086,0.7693484587096083,0.7693484587096083,True,0.0
dataset_style,0,pancreas_089,0.46514146623311137,0.4651414662331113,True,5.551115123125783e-17
dataset_style,0,pancreas_091,0.5914640815742044,0.5914640815742044,True,0.0
dataset_style,0,pancreas_092,0.14465249243306436,0.1446524924330643,True,5.551115123125783e-17
dataset_style,0,pancreas_094,1.0,1.0,True,0.0
dataset_style,0,pancreas_104,0.08877159913727696,0.0887715991372769,True,5.551115123125783e-17
dataset_style,0,pancreas_110,0.6082965289412681,0.6082965289412681,True,0.0
dataset_style,0,pancreas_113,0.47646780250879517,0.4764678025087951,True,5.551115123125783e-17
dataset_style,0,pancreas_114,0.0,0.0,True,0.0
dataset_style,0,pancreas_117,0.4309322110679313,0.4309322110679313,True,0.0
dataset_style,0,pancreas_119,0.6328124867642183,0.6328124867642183,True,0.0
dataset_style,0,pancreas_120,0.0,0.0,True,0.0
dataset_style,0,pancreas_124,0.29409459795966886,0.2940945979596689,True,5.551115123125783e-17
dataset_style,0,pancreas_130,0.22628921392299603,0.226289213922996,True,2.7755575615628914e-17
dataset_style,0,pancreas_131,0.25204584004013636,0.2520458400401363,True,5.551115123125783e-17
dataset_style,0,pancreas_159,0.15090863280404943,0.1509086328040494,True,2.7755575615628914e-17
dataset_style,0,pancreas_169,0.0,0.0,True,0.0
dataset_style,0,pancreas_186,0.1822579707486268,0.1822579707486268,True,0.0
dataset_style,0,pancreas_193,0.637161318481177,0.637161318481177,True,0.0
dataset_style,0,pancreas_199,0.0,0.0,True,0.0
dataset_style,0,pancreas_204,0.0,0.0,True,0.0
dataset_style,0,pancreas_207,0.0,0.0,True,0.0
dataset_style,0,pancreas_213,0.0,0.0,True,0.0
dataset_style,0,pancreas_214,0.0,0.0,True,0.0
dataset_style,0,pancreas_229,0.0,0.0,True,0.0
